"org","#6: Update on Release Process to adjust to existing GitHub Workflow (procedure)","#7: Officer Election (procedure)","#96: Semantic Terms (no-no)","#179: Joseph - Omission - p. 440 - WIN_DETATCH Binding Fix (errata)","#178: Joseph - Omission - p. 439 - WIN_ATTACH_ Binding Fix (errata)","#167: Dan - Error - Section 3.3.2 - p. 38 - Replace C process (errata)","#252: Dan - Clarification - Section 3.2.2 - p. 27 - Datatype Footnote (errata)","#190: Dan - Update - Section 3.7.5 - p. 60 - Replace C-bias with LIS (errata)","#218: Wesley - Update - Section 17.1 - p. 635 - Update Backward Incompatibility Text (errata)","#262: Wesley - Clarification - Section 11.3.5 - p. 458 - Error in Status Field Clarification (errata)","#263: Wesley - Clarification - Section 11.7 - p. 482 - MPI Exception Clarification (errata)","#168: Wesley - Error - Section 12.4.3 - p. 515 - MPI_INIT argc/argv values (errata)","#171: George - Error in text - Section 4.1.1 - p. 87 - INTEGER*8 Extension (errata)","#176: George - Omission - p. 387 - Initialized Binding Fix (errata)","#181: George - Oversight - Section 8.7 - p. 383 - Escape Spaces in Arguments (errata)","#254: George - Clarification - Example 4.17 - p. 128 - Example Comment (errata)","#196: Guillaume - Update - Section 6.2.4 - p. 248 - Remove Host Process (errata)","#268: Marc-Andre - Clarification - Section 14.3.7 - p. 615 - MPI_T Session Impact Clarifications (errata)","#169: Martin - Error - Section 13.4.1 - p. 535 - MPI_FILE_READ Equivalency (errata)","#257: Julien - Clarification - Section 5.1 - p. 144 - Collective Synchronization (errata)","#182: Julien - Question - Section 5.12.4 - p. 206 - MPI_ISCATTERV sendcounts and displs Consistency (errata)","#160: Marc-Andre - Clarify behavior for invalid MPI_T binding arguments (errata)","#137: The Embiggenment (BigCount) (1st)","#103: MPI Sessions (2nd)","#143: Creating an MPI_INFO_ENV object before MPI_INIT. (2nd)","#132: Hardware split, guided mode. (2nd)","#156: Hardware split, unguided mode. (2nd)","#136: Partitioned Point-to-Point Communication (2nd)","#122: Intro nonblocking, no serialization and no deadlocks (2nd)"
"University of Tennessee, Knoxville","Yes","Yes","Yes","","","","","","","","","","","","","","","","","","","","Yes","Abstain","Yes","Yes","Yes","Yes","Yes"
"Pacific Northwest National Laboratory","Yes","Yes","Yes","","","","","","","","","","","","","","","","","","","","Yes","Yes","Yes","Abstain","Abstain","Yes","Yes"
"University of Illinois Urbana-Champaign","Yes","Yes","Yes","","","","","","","","","","","","","","","","","","","","Yes","Abstain","Yes","Yes","Yes","Abstain","Yes"
"University of Tennessee, Chattanooga","Yes","Yes","Yes","","","","","","","","","","","","","","","","","","","","Yes","Yes","Yes","Abstain","Abstain","Yes","Yes"
"IBM","Yes","Yes","Yes","","","","","","","","","","","","","","","","","","","","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"University of New Mexico","Yes","Yes","Yes","","","","","","","","","","","","","","","","","","","","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"EPCC, The University of Edinburgh","Yes","Yes","Yes","","","","","","","","","","","","","","","","","","","","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"RWTH Aachen University","Yes","Yes","Yes","","","","","","","","","","","","","","","","","","","","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Lawrence Berkeley National Laboratory","Yes","Yes","Yes","","","","","","","","","","","","","","","","","","","","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Atos","Yes","Yes","Yes","","","","","","","","","","","","","","","","","","","","Yes","Yes","Yes","Yes","Yes","Abstain","Yes"
"Argonne National Laboratory","Yes","Yes","Yes","","","","","","","","","","","","","","","","","","","","Yes","Abstain","Yes","Yes","No","No","Yes"
"Ohio State University","Yes","Yes","Yes","","","","","","","","","","","","","","","","","","","","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Oak Ridge National Laboratory","Yes","Yes","Yes","","","","","","","","","","","","","","","","","","","","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"HLRS, University of Stuttgart","Yes","Yes","Yes","","","","","","","","","","","","","","","","","","","","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Sandia National Laboratory","Yes","Yes","Yes","","","","","","","","","","","","","","","","","","","","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Inria","Yes","Yes","Yes","","","","","","","","","","","","","","","","","","","","Yes","Yes","Yes","Yes","Yes","Abstain","Yes"
"CEA","Yes","Yes","Yes","","","","","","","","","","","","","","","","","","","","Yes","Yes","Yes","Yes","Yes","Abstain","Yes"
"Los Alamos National Laboratory","Yes","Yes","Yes","","","","","","","","","","","","","","","","","","","","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"ParaTools SAS","Yes","Yes","Yes","","","","","","","","","","","","","","","","","","","","Abstain","Yes","Yes","Yes","Yes","Yes","Yes"
"University of Basel","Yes","Yes","Yes","","","","","","","","","","","","","","","","","","","","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"HPE","Yes","Yes","Yes","","","","","","","","","","","","","","","","","","","","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Technical University of Munich","Yes","Yes","Yes","","","","","","","","","","","","","","","","","","","","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"NVIDIA","Yes","Yes","Yes","","","","","","","","","","","","","","","","","","","","Yes","Yes","Yes","Yes","Yes","Abstain","Yes"
"VSC Research Center, TU Wien","Yes","Yes","Yes","","","","","","","","","","","","","","","","","","","","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Cisco","Yes","Yes","Yes","","","","","","","","","","","","","","","","","","","","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Fujitsu","Yes","Yes","Yes","","","","","","","","","","","","","","","","","","","","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"University of Alabama at Birmingham","Yes","Yes","Yes","","","","","","","","","","","","","","","","","","","","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Intel Corporation","Yes","Yes","Yes","","","","","","","","","","","","","","","","","","","","Yes","Yes","Yes","Yes","No","No","Yes"
"Lawrence Livermore National Laboratory","Yes","Yes","Yes","","","","","","","","","","","","","","","","","","","","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Tennessee Tech University","Yes","Yes","Yes","","","","","","","","","","","","","","","","","","","","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"RIKEN","Yes","Yes","Yes","","","","","","","","","","","","","","","","","","","","Yes","Yes","Yes","Yes","Yes","Abstain","Yes"
